Section,Title,Session,Days,Start time,End time,Status,Unit
002-SEM (1123),ETHLDR202,7W2,TuTh,14.45,17.15,18,4
001-SEM (1048),ETHLDR390,7W2,TuTh,14.45,17.15,18,4
002-SEM (1074),GCHINA301,7W2,MoWe,12,14.3,18,4
001-SEM (1050),GCULS105,7W2,MoWe,8.3,11,18,4
001-SEM (1099),GCULS226,7W2,TuTh,12,14.3,18,4
001-SEM (1078),GCULS302,7W2,MoWe,12,14.3,18,4
002-SEM (1405),GLHLTH101,7W2,TuTh,14.45,17.15,32,4
001-SEM (1341),GLHLTH301,7W2,TuTh,8.3,11,18,4
013-SEM (1183),GLOCHALL201,7W2,MoTuWeTh,8.3,9.45,18,4
014-SEM (1184),GLOCHALL201,7W2,MoTuWeTh,8.3,9.45,18,4
015-SEM (1185),GLOCHALL201,7W2,MoTuWeTh,10,11.15,18,4
016-SEM (1186),GLOCHALL201,7W2,MoTuWeTh,10,11.15,18,4
018-SEM (1188),GLOCHALL201,7W2,MoTuWeTh,11.45,13,18,4
019-SEM (1189),GLOCHALL201,7W2,MoTuWeTh,13.15,14.3,18,4
020-SEM (1190),GLOCHALL201,7W2,MoTuWeTh,13.15,14.3,18,4
021-SEM (1191),GLOCHALL201,7W2,MoTuWeTh,14.45,16,18,4
022-SEM (1192),GLOCHALL201,7W2,MoTuWeTh,14.45,16,18,4
023-SEM (1193),GLOCHALL201,7W2,MoTuWeTh,16.15,17.3,18,4
024-SEM (1194),GLOCHALL201,7W2,MoTuWeTh,16.15,17.3,18,4
001-SEM (1105),HIST102,7W2,TuTh,14.45,17.15,18,4
001-SEM (1085),HIST105,7W2,MoWe,12,14.3,18,4
001-SEM (1125),HIST114,7W2,TuTh,14.45,17.15,18,4
001-SEM (1075),HIST201,7W2,TuTh,12,14.3,18,4
001-SEM (1098),HIST318,7W2,MoWe,12,14.3,18,4
001-LEC (1302),INFOSCI102,7W2,MoTuWeTh,8.3,9.45,32,4
001-LEC (1373),INFOSCI103,7W2,TuTh,12,14.3,25,4
001-LEC (1066),INFOSCI301,7W2,TuTh,12,14.3,18,4
001-SEM (1108),LIT105,7W2,MoWe,14.45,17.15,18,4
001-SEM (1051),LIT203,7W2,TuTh,8.3,11,18,4
001-SEM (1101),LIT216,7W2,MoWe,12,14.3,18,4
001-LEC (1126),LIT313,7W2,MoWe,14.45,17.15,18,4
004-LEC (1305),MATH105,7W2,MoTuWeTh,8.3,9.45,60,4
004R-REC (1306),MATH105,7W2,Tu,10,11.15,60,0
005-LEC (1368),MATH105,7W2,MoTuWeTh,13.15,14.3,60,4
005R-REC (1369),MATH105,7W2,We,14.45,16,60,0
006-LEC (1396),MATH105,7W2,MoTuWeTh,10,11.15,60,4
006R-REC (1397),MATH105,7W2,Th,14.45,16,60,0
002-SEM (1318),MATH201,7W2,MoTuWeTh,10,11.15,40,4
002R-REC (1319),MATH201,7W2,Tu,14.45,16,40,0
002-SEM (1365),MATH202,7W2,MoTuWeTh,13.15,14.3,40,4
002R-REC (1366),MATH202,7W2,We,14.45,16,40,0
001-LEC (1568),MATH203,7W2,MoTuWeTh,13.15,14.3,40,4
001R-REC (1569),MATH203,7W2,We,14.45,16,40,0
002-LEC (1352),MATH206,7W2,MoTuWeTh,11.45,13,40,4
002R-REC (1353),MATH206,7W2,Th,14.45,16,40,0
001-SEM (1327),MATH303,7W2,MoTuWeTh,10,11.15,25,4
001-SEM (1361),MATH304,7W2,TuTh,14.45,17.15,40,4
001R-REC (1362),MATH304,7W2,We,11.45,13,40,0
001-SEM (1401),MATH308,7W2,MoTuWeTh,16.15,17.3,25,4
001-LEC (1348),MATH407,7W2,MoWe,12,14.3,18,4
001-LEC (1389),MATH412,7W2,TuTh,8.3,11,25,4
001-SEM (1392),MATH450,7W2,TuTh,12,14.3,25,4
001-SEM (1390),MATSCI401,7W2,TuTh,12,14.3,18,4
001-SEM (1084),MEDIA201,7W2,TuTh,12,14.3,18,4
001-SEM (1111),MEDIART120,7W2,TuTh,14.45,17.15,18,4
001-SEM (1055),MEDIART202,7W2,TuTh,8.3,11,18,4
001-SEM (1109),MEDIART209,7W2,TuTh,14.45,17.15,18,4
001-SEM (1106),MEDIART210,7W2,MoWe,14.45,17.15,18,4
001-SEM (1079),MEDIART212,7W2,TuTh,12,14.3,18,4
001-LEC (1064),MEDIART213,7W2,MoWe,8.3,11,18,4
001-SEM (1080),MEDIART223,7W2,MoWe,12,14.3,18,4
001-SEM (1559),MEDIART226,7W2,TuTh,12,14.3,18,4
